2,0.03222146,-0.03222146,0
106,0.6444293,0.8377582,-0.05079039
207,3.125482,3.286589,-0.4977337
308,7.024279,6.895393,-1.642658
409,11.72861,11.30973,-2.799697
510,16.91627,16.46517,-3.136593
611,22.39392,22.10393,-2.599497
712,28.16156,28.03267,-2.980815
813,34.2192,34.12253,-4.358623
914,40.40572,40.34128,-2.442057
1014,46.81779,46.62446,-5.356163
1115,53.42319,52.90765,-9.10926
1216,59.93192,59.31972,-11.97592
1317,66.53732,65.82845,-13.80267
1921,82.84138,82.06807,-15.79076
2024,83.74359,81.61697,-17.77396
2125,86.45019,79.58702,-30.76806
2226,90.25231,76.81598,-51.56784
2327,94.79555,73.75494,-74.89671
2933,104.3009,69.72725,-126.115
3033,105.0742,70.75833,-126.9301
3134,107.5553,73.27161,-127.4417
3235,111.1963,77.0093,-127.1014
3341,115.8362,82.03584,-126.1433
3447,120.9272,87.5135,-124.4306
3548,126.1792,93.34558,-123.1272
3649,131.7858,99.49989,-121.5166
3750,137.6823,105.7508,-121.0566
3851,143.9011,112.0018,-123.7031
3952,150.2487,118.3172,-126.5974
4052,156.4996,124.826,-126.8458
4153,162.7184,131.4314,-126.102
4254,169.066,137.9723,-126.6274
4355,175.607,144.4488,-126.9872
4456,182.0513,150.9898,-126.7661
4557,188.3989,157.5307,-126.8523
4658,194.9399,163.975,-127.4729
4760,201.6419,170.4193,-128.1897
4861,208.0862,176.8314,-128.3641
4962,214.3372,183.3401,-127.8693
5067,220.7815,190.1711,-127.3686
5168,226.9036,196.712,-127.1101
5269,233.0901,203.253,-126.5091
5370,239.2766,209.7617,-126.8477
5471,245.5276,216.206,-127.0059
5571,251.9718,222.5537,-127.5625
5672,258.5773,228.8368,-128.8448
5773,265.2149,235.1523,-130.0341
5874,271.6592,241.5965,-130.0907
5975,278.0068,248.0731,-129.4654
6076,284.3544,254.4529,-129.6721
6177,290.9276,260.7361,-130.7827
6781,306.3939,275.4935,-130.7071
6884,307.2639,274.7846,-133.8847
6985,309.6483,272.4325,-147.6946
7086,313.1926,269.0814,-169.5595
